amount,type,category,date,paymentMethod,description,tags,account
1454,expense,transport,2026-02-19,debit_card,Spending on transport,budget;essentials,savings
1301,income,salary,2025-12-13,bank_transfer,Salary,payroll;monthly,checking
1290,expense,entertainment,2026-03-29,cash,Spending on entertainment,weekly;entertainment,credit_card
4626,expense,transport,2025-08-21,debit_card,Spending on transport,recurring;weekly,savings
4639,income,salary,2026-02-02,cash,Salary,salary;salary,checking
4216,expense,transport,2025-12-11,cash,Spending on transport,transport;essentials,wallet
1013,income,salary,2025-09-02,debit_card,Salary,payroll;payroll,wallet
2484,income,salary,2025-08-07,debit_card,Salary,payroll;monthly,savings
1877,expense,rent,2026-03-24,cash,Spending on rent,recurring;essentials,checking
3013,expense,utilities,2025-05-03,cash,Spending on utilities,weekly;recurring,credit_card
1744,expense,entertainment,2025-10-18,credit_card,Spending on entertainment,essentials;recurring,checking
4162,expense,rent,2025-07-06,cash,Spending on rent,rent;recurring,wallet
3319,expense,shopping,2025-12-02,cash,Spending on shopping,weekly;budget,credit_card
3957,expense,entertainment,2025-11-13,credit_card,Spending on entertainment,weekly;entertainment,wallet
1152,expense,shopping,2025-11-03,bank_transfer,Spending on shopping,recurring;recurring,wallet
4822,expense,transport,2025-12-01,credit_card,Spending on transport,essentials;recurring,wallet
4829,expense,entertainment,2026-01-15,credit_card,Spending on entertainment,budget;essentials,credit_card
1523,expense,entertainment,2025-07-10,debit_card,Spending on entertainment,recurring;recurring,savings
2484,expense,shopping,2025-10-18,debit_card,Spending on shopping,budget;shopping,credit_card
3220,expense,shopping,2025-10-07,bank_transfer,Spending on shopping,budget;shopping,savings
4414,expense,utilities,2025-07-04,debit_card,Spending on utilities,budget;recurring,checking
765,expense,entertainment,2025-06-23,debit_card,Spending on entertainment,weekly;entertainment,credit_card
981,expense,entertainment,2025-07-06,debit_card,Spending on entertainment,budget;budget,checking
524,expense,entertainment,2025-10-26,bank_transfer,Spending on entertainment,recurring;recurring,savings
3151,expense,utilities,2025-12-08,credit_card,Spending on utilities,weekly;budget,checking
1835,expense,transport,2025-05-19,cash,Spending on transport,essentials;weekly,credit_card
1894,expense,transport,2025-05-30,credit_card,Spending on transport,budget;recurring,checking
2034,expense,rent,2025-08-10,credit_card,Spending on rent,essentials;rent,savings
2712,expense,shopping,2025-05-13,cash,Spending on shopping,recurring;shopping,savings
558,expense,transport,2025-12-13,cash,Spending on transport,transport;transport,credit_card
4597,income,salary,2025-07-04,bank_transfer,Salary,monthly;payroll,savings
2341,expense,food,2025-08-24,credit_card,Spending on food,recurring;food,savings
3915,expense,transport,2025-07-17,debit_card,Spending on transport,recurring;transport,wallet
4252,expense,rent,2025-10-01,bank_transfer,Spending on rent,rent;budget,wallet
1337,income,salary,2025-12-27,bank_transfer,Salary,payroll;salary,checking
3831,expense,shopping,2025-10-10,debit_card,Spending on shopping,budget;shopping,wallet
240,expense,entertainment,2025-09-29,bank_transfer,Spending on entertainment,essentials;entertainment,checking
1006,expense,utilities,2025-11-10,debit_card,Spending on utilities,recurring;weekly,credit_card
468,expense,entertainment,2026-01-29,credit_card,Spending on entertainment,weekly;weekly,checking
3495,expense,food,2026-02-06,debit_card,Spending on food,food;recurring,checking
2684,expense,entertainment,2025-09-21,cash,Spending on entertainment,budget;budget,credit_card
134,expense,food,2025-06-08,cash,Spending on food,recurring;food,wallet
2641,expense,rent,2025-06-20,bank_transfer,Spending on rent,rent;budget,wallet
185,expense,rent,2025-11-18,bank_transfer,Spending on rent,essentials;recurring,credit_card
4624,income,salary,2025-12-25,cash,Salary,monthly;payroll,savings
7849,income,salary,2026-03-11,credit_card,Salary,monthly;payroll,savings
5141,income,salary,2025-05-10,credit_card,Salary,payroll;monthly,wallet
3683,expense,utilities,2026-02-17,bank_transfer,Spending on utilities,weekly;weekly,savings
762,expense,food,2026-02-23,cash,Spending on food,recurring;recurring,savings
3913,expense,utilities,2026-01-13,credit_card,Spending on utilities,weekly;weekly,credit_card
2995,income,salary,2025-07-11,debit_card,Salary,monthly;monthly,savings
4293,expense,transport,2026-02-06,cash,Spending on transport,recurring;essentials,wallet
1814,expense,food,2025-09-19,cash,Spending on food,essentials;recurring,savings
1976,expense,entertainment,2025-12-20,bank_transfer,Spending on entertainment,entertainment;recurring,credit_card
5860,income,salary,2025-08-23,credit_card,Salary,salary;payroll,savings
734,expense,rent,2025-11-13,cash,Spending on rent,budget;rent,checking
2871,expense,food,2025-12-04,cash,Spending on food,weekly;weekly,savings
1801,expense,entertainment,2026-01-04,debit_card,Spending on entertainment,entertainment;entertainment,checking
2968,expense,entertainment,2025-06-06,bank_transfer,Spending on entertainment,weekly;weekly,savings
3418,expense,transport,2025-07-10,cash,Spending on transport,transport;transport,wallet
4433,expense,utilities,2026-02-09,cash,Spending on utilities,weekly;budget,checking
8677,income,salary,2026-01-24,bank_transfer,Salary,payroll;monthly,wallet
4379,expense,shopping,2025-06-01,cash,Spending on shopping,weekly;weekly,checking
8302,income,salary,2025-10-14,debit_card,Salary,salary;payroll,credit_card
2912,income,salary,2025-06-01,debit_card,Salary,monthly;monthly,credit_card
3505,expense,transport,2025-05-30,credit_card,Spending on transport,recurring;budget,savings
8865,income,salary,2025-10-11,cash,Salary,payroll;payroll,checking
367,expense,utilities,2026-02-17,cash,Spending on utilities,utilities;weekly,checking
1207,expense,utilities,2025-11-16,cash,Spending on utilities,essentials;budget,checking
2865,income,salary,2025-07-08,bank_transfer,Salary,payroll;salary,credit_card
2333,expense,utilities,2025-07-22,cash,Spending on utilities,budget;utilities,wallet
1701,income,salary,2025-09-09,debit_card,Salary,monthly;salary,checking
1379,expense,rent,2026-02-10,bank_transfer,Spending on rent,weekly;recurring,savings
2897,expense,utilities,2025-05-14,credit_card,Spending on utilities,recurring;recurring,checking
1258,expense,shopping,2026-01-01,cash,Spending on shopping,shopping;recurring,credit_card
694,expense,utilities,2026-03-08,bank_transfer,Spending on utilities,utilities;budget,credit_card
3984,expense,rent,2026-02-10,cash,Spending on rent,essentials;rent,savings
6197,income,salary,2026-01-17,cash,Salary,monthly;payroll,savings
745,expense,rent,2025-08-22,credit_card,Spending on rent,rent;weekly,savings
884,expense,entertainment,2025-09-14,bank_transfer,Spending on entertainment,budget;entertainment,checking
1563,income,salary,2025-12-31,credit_card,Salary,salary;monthly,checking
2629,expense,shopping,2026-03-25,cash,Spending on shopping,budget;weekly,savings
3316,expense,rent,2026-01-15,cash,Spending on rent,rent;budget,checking
4845,income,salary,2025-05-30,debit_card,Salary,payroll;salary,savings
1224,expense,shopping,2025-08-19,debit_card,Spending on shopping,shopping;weekly,savings
2979,expense,rent,2025-12-06,credit_card,Spending on rent,recurring;rent,wallet
4297,expense,food,2025-12-11,debit_card,Spending on food,weekly;weekly,wallet
576,expense,rent,2025-05-12,debit_card,Spending on rent,budget;rent,wallet
8176,income,salary,2025-07-11,debit_card,Salary,monthly;salary,credit_card
